"","BBCA.JK.Open","BBCA.JK.High","BBCA.JK.Low","BBCA.JK.Close","BBCA.JK.Volume","BBCA.JK.Adjusted"
"1",9400,9425,9350,9425,30545200,8893.341796875
"2",9425,9425,9325,9350,34603300,8822.572265625
"3",9400,9475,9375,9475,56501800,8940.5205078125
"4",9500,9600,9475,9575,85290100,9034.8818359375
"5",9600,9625,9475,9575,50896000,9034.8818359375
"6",9600,9625,9575,9625,59848600,9082.060546875
"7",9650,9650,9550,9550,52774900,9011.291015625
"8",9625,9650,9575,9575,39381500,9034.8818359375
"9",9650,9700,9600,9700,68253400,9152.830078125
"10",9750,9750,9650,9725,88399500,9176.419921875
"11",9700,9750,9675,9700,44869200,9152.830078125
"12",9750,9750,9650,9750,107706100,9200.0087890625
"13",9675,9750,9625,9675,71048900,9129.240234375
"14",9775,9775,9600,9625,63176500,9082.060546875
"15",9600,9650,9525,9625,52868300,9082.060546875
"16",9450,9600,9450,9600,92348600,9058.4697265625
"17",9600,9600,9475,9525,84906000,8987.701171875
"18",9450,9575,9450,9500,63212700,8964.111328125
"19",9400,9450,9300,9350,78977300,8822.572265625
"20",9400,9550,9375,9550,73452800,9011.291015625
"21",9500,9650,9475,9650,73136400,9105.6494140625
"22",9700,9700,9550,9550,102581200,9011.291015625
"23",9650,9725,9575,9700,104208700,9152.830078125
"24",9775,9800,9625,9700,99324000,9152.830078125
"25",9675,9675,9525,9575,57983300,9034.8818359375
"26",9750,9750,9625,9625,87651000,9082.060546875
"27",9700,9725,9650,9700,92953500,9152.830078125
"28",9750,9800,9700,9800,87949400,9247.1884765625
"29",9750,9800,9700,9725,66072400,9176.419921875
"30",9950,9975,9850,9850,164748900,9294.3681640625
"31",9975,10000,9875,9950,142277200,9388.7265625
"32",9900,9975,9825,9875,53341300,9317.958984375
"33",9850,10025,9850,10025,63997700,9459.49609375
"34",9950,10000,9850,9975,75371600,9412.3173828125
"35",9975,9975,9875,9875,66913000,9317.958984375
"36",9900,9925,9800,9825,55192300,9270.7783203125
"37",9750,9875,9725,9800,41356000,9247.1884765625
"38",9750,9900,9750,9875,43735800,9317.958984375
"39",9975,10000,9900,10000,54043100,9435.90625
"40",10000,10000,9850,9875,126671200,9317.958984375
"41",9900,9925,9800,9825,51520600,9270.7783203125
"42",9800,9825,9750,9750,43822900,9200.0087890625
"43",9900,9900,9775,9800,61952900,9247.1884765625
"44",9900,10000,9775,9950,70242200,9388.7265625
"45",10050,10175,10000,10125,118369300,9553.85546875
"46",10250,10300,10125,10150,100947200,9577.4462890625
"47",10400,10400,10000,10000,141622600,9435.90625
"48",10050,10325,10025,10325,110681100,9742.5732421875
"49",10200,10300,10050,10150,154176800,9577.4462890625
"50",10175,10275,10150,10150,62444100,9577.4462890625
"51",10150,10250,10150,10175,55004800,9601.03515625
"52",10100,10150,10075,10125,66269700,9553.85546875
"53",10175,10225,10050,10125,90279400,9553.85546875
"54",10000,10125,9950,10100,91968200,9530.265625
"55",10075,10075,9925,10075,66971000,9725.74609375
"56",10050,10050,9950,10050,65742700,9701.6123046875
"57",10025,10075,10000,10075,39514100,9725.74609375
"58",10025,10100,9975,10075,79229700,9725.74609375
"59",10075,10100,9825,9850,79248700,9508.5458984375
"60",9925,9950,9800,9900,76763100,9556.8125
"61",9750,9800,9525,9525,177418400,9194.8125
"62",9575,9850,9575,9850,75993500,9508.5458984375
"63",9950,9950,9825,9825,70428600,9484.4130859375
"64",9350,9575,9250,9475,283265900,9146.544921875
"65",9550,9675,9525,9525,95620700,9194.8125
"66",9525,9575,9450,9475,127134000,9146.544921875
"67",9350,9500,9300,9475,147784300,9146.544921875
"68",9400,9425,9350,9350,128908000,9025.87890625
"69",9400,9775,9400,9725,178833000,9387.8798828125
"70",9825,9950,9750,9950,132832700,9605.0791015625
"71",10000,10000,9700,9775,104874100,9436.1455078125
"72",9700,9825,9625,9625,100932900,9291.345703125
"73",9525,9850,9525,9800,90063500,9460.279296875
"74",10050,10050,9800,9800,109623000,9460.279296875
"75",9900,9900,9500,9550,97079400,9218.9453125
"76",9750,9850,9675,9850,81200400,9508.5458984375
"77",9850,9875,9775,9800,53076200,9460.279296875
"78",9700,9750,9625,9700,66746800,9363.74609375
